
|Label field|      Mnem field      |    1st operand     |    2nd operand     |
|   Number  |  Num_first|Quantity  | Num_first|Quantity | Num_first|Quantity |

|     1     |         2 | 1        |        0 | 0       |        0 | 0       |

|     1     |         2 | 1        |        3 | 1       |        0 | 0       |

|     1     |         2 | 1        |        3 | 1       |        0 | 0       |

|     1     |         2 | 1        |        3 | 1       |        0 | 0       |

|     1     |         2 | 1        |        3 | 1       |        0 | 0       |

|     1     |         2 | 1        |        3 | 1       |        0 | 0       |

|     1     |         2 | 1        |        3 | 1       |        0 | 0       |

|     1     |         2 | 1        |        3 | 1       |        0 | 0       |

|     1     |         2 | 1        |        0 | 0       |        0 | 0       |

|     0     |         1 | 1        |        2 | 3       |        6 | 3       |

|     1     |         2 | 1        |        0 | 0       |        0 | 0       |

|     0     |         0 | 0        |        0 | 0       |        0 | 0       |

|     1     |         0 | 0        |        0 | 0       |        0 | 0       |

|     0     |         1 | 1        |        2 | 1       |        0 | 0       |

|     0     |         1 | 1        |        2 | 1       |        4 | 1       |

|     0     |         1 | 1        |        2 | 1       |        0 | 0       |

|     0     |         1 | 1        |        2 | 1       |        0 | 0       |

|     1     |         0 | 0        |        0 | 0       |        0 | 0       |

|     0     |         1 | 1        |        2 | 1       |        4 | 7       |

|     0     |         1 | 1        |        2 | 7       |        0 | 0       |

|     0     |         1 | 1        |        2 | 1       |        4 | 1       |

|     0     |         1 | 1        |        2 | 1       |        4 | 7       |

|     0     |         1 | 1        |        2 | 7       |        10 | 1       |

|     0     |         1 | 1        |        2 | 1       |        4 | 1       |

|     0     |         1 | 1        |        2 | 7       |        10 | 1       |

|     0     |         1 | 1        |        2 | 1       |        0 | 0       |

|     0     |         1 | 1        |        2 | 1       |        0 | 0       |
